Flight	Flight Time	Entry	Data
1	2752295443	0	On board logging enabled.
1	2752800427	1	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2754299380	1	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2755658663	1	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2757222723	1	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2758797511	2	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2760477693	2	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2761908879	2	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2763198891	3	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
1	2764443869	3	MANUALCONTROLCOMMAND (ID: 265BA97E-0, 48 BYTES, single)Data:Throttle: [ 0 ] %Roll: [ 0 ] %Pitch: [ 0 ] %Yaw: [ 0 ] %Collective: [ 0 ] %Thrust: [ 0 ] %Channel: [ 0 0 0 0 0 0 0 0 0 0 0 ] usConnected: [ 0 ] FlightModeSwitchPosition: [ 0 ] 
