Flight	Flight Time	Entry	Data
1	768065692	0	On board logging enabled.
1	768482475	1	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16741e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0380882 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.939 ] degreesGroundspeed: [ 68.6456 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768921854	1	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0929036 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.2075 ] degreesGroundspeed: [ 45.9539 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768929954	1	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0929036 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.2075 ] degreesGroundspeed: [ 45.9539 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768931324	1	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0929036 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.2075 ] degreesGroundspeed: [ 45.9539 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768940298	2	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0929036 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.2075 ] degreesGroundspeed: [ 45.9539 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768960321	2	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0929036 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.2075 ] degreesGroundspeed: [ 45.9539 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768980909	2	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0929036 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.2075 ] degreesGroundspeed: [ 45.9539 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	768990876	3	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0615108 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.7849 ] degreesGroundspeed: [ 41.2005 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769036309	3	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0615108 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.7849 ] degreesGroundspeed: [ 41.2005 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769040365	3	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0615108 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.7849 ] degreesGroundspeed: [ 41.2005 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769047602	4	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0615108 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.7849 ] degreesGroundspeed: [ 41.2005 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769081830	4	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0615108 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.7849 ] degreesGroundspeed: [ 41.2005 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769144567	4	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0566849 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.9778 ] degreesGroundspeed: [ 37.6635 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769180624	5	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0566849 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.9778 ] degreesGroundspeed: [ 37.6635 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769181142	5	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16742e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ 0.0566849 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -49.9778 ] degreesGroundspeed: [ 37.6635 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	769229108	5	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.16743e+08 ] degrees x 10^-7Longitude: [ 1.20767e+09 ] degrees x 10^-7Altitude: [ -0.0158672 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -50.0433 ] degreesGroundspeed: [ 34.0455 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
